question,ground_truths,answer,contexts,latency
q: 公司的考勤管理制度适用于哪些人员？,适用于公司全体正式员工及实习生。,公司的考勤管理制度适用于公司全体正式员工及实习生。,q: 本制度适用于哪些员工？ 本制度适用于公司全体正式员工及实习生。;q: 本制度适用于哪些员工？ 本制度适用于公司全体正式员工及实习生。,1.3
q: 员工应该遵守哪些考勤规章制度？,员工应严格遵守工作律及考勤规章制度。,员工应该遵守公司的考勤规章制度，其中包括五天弹性工作制，每天工作时间不少于8小时，中午12：00-13：00为午休时间，不计入工作时间。,q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。;q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。,1.6
q: 各部门负责人在考勤管理方面有哪些权利和义务？,各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。,各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。,q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。;q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。,1.1
q: 公司的考勤时间是如何规定的？,公司执行五天弹性工作制，上班时间为 9:00-9:30，下班时间为 18:00-18:30，中午 12:00-13:00 为午休时间，不计入工作时间；每天工作时间不少于 8 小时。,公司的考勤时间是五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，午休时间为12：00-13：00，每天工作时间不少于8小时。,q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。;q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。,1.9
q: 公司对考勤时间的安排是否考虑了员工的交通通勤情况？,是的，公司考虑了交通通勤情况，每天上班给予 10 分钟延迟。,不知道，上述信息中并没有提及公司是否考虑了员工的交通通勤情况。,q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。;q: 公司的考勤时间是什么？ 公司执行五天弹性工作制，上班时间为9：00-9：30，下班时间为18：00-18：30，中午12：00-13：00为午休时间，不计入工作时间；每天工作时间不少于8小时。,1.3
q: 如果员工因工作原因下班晚走 2 小时，会对考勤打卡产生什么影响？,第二天打卡时间不晚于上午 10:00，考勤打卡数据将作为员工日常管理和薪资核算的重要依据。,a: 员工因工作原因下班晚走 2 小时，第二天打卡时间不晚于上午10：00。,q: 因工作原因下班晚走2小时，第二天打卡时间不晚于几点？ 因工作原因下班晚走2小时，第二天打卡时间不晚于上午10：00。;q: 因工作原因下班晚走2小时，第二天打卡时间不晚于几点？ 因工作原因下班晚走2小时，第二天打卡时间不晚于上午10：00。,1.4
q: 公司对员工考勤记录的审批权限是否有限制？,是的，各部门负责人在权限范围内有审批部门员工考勤记录的权利。,公司对员工考勤记录的审批权限是有限制的，一般由各部门负责人在权限范围内进行审批。,q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。;q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。,1.3
q: 如果员工旷工，公司会有哪些处罚措施？,旷工会被视为旷工，并可能会受到相应的处罚。,人力资源部确认员工旷工行为后，将扣除旷工相应天数工资的100%，直接影响其所有考核成绩，并可能被视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。,q: 人力资源部确认员工旷工行为后，会作哪些处罚？ 人力资源部确认员工旷工行为后，将扣除旷工相应天数工资的100%，直接影响其所有考核成绩，并可能被视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。;q: 旷工的员工需要承担哪些责任？ 旷工的员工需要承担因旷工导致的经济损失，包括工资、福利、奖金等。,1.7
q: 如果员工迟到，公司会有哪些处罚措施？,迟到会被视为迟到，并可能会受到相应的处罚。,如果员工迟到，公司会扣除迟到相应天数工资的100%，并可能被视为轻微违纪行为，公司有权在出现多次迟到的情况下，口头警告或书面警告，严重者可能会被解雇。,q: 人力资源部确认员工旷工行为后，会作哪些处罚？ 人力资源部确认员工旷工行为后，将扣除旷工相应天数工资的100%，直接影响其所有考核成绩，并可能被视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。;q: 旷工一天会受到什么样的处罚？ 旷工一天会扣除旷工相应天数工资的100%，直接影响其所有考核成绩。,1.5
q: 公司对考勤记录的记录和汇总由哪个部门负责？,人力资源部负责考勤信息的记录、汇总，监督考勤制度的执行。,不知道。,q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。;q: 谁有审批部门员工考勤记录的权利和义务？ 各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行。,0.4
q: 公司的考勤制度适用于所有员工吗？,是的，适用于公司全体正式员工及实习生。,是的，本制度适用于公司全体正式员工及实习生。,q: 本制度适用于哪些员工？ 本制度适用于公司全体正式员工及实习生。;q: 本制度适用于哪些员工？ 本制度适用于公司全体正式员工及实习生。,0.8
q: 考勤制度是否需要员工进行打卡？,是的，员工应该遵守考勤规章制度进行打卡。,是的，需要打卡,q: 公司非销售岗位和指定人员需要打卡吗？ 是的，需要打卡;q: 考勤打卡数据将作为什么的重要依据？ 考勤打卡数据将作为员工日常管理和薪资核算的重要依据。,0.6
q: 如果员工没有正当理由没有按时打卡，公司会有怎样的处罚措施？,视为旷工，可能会受到相应的处罚。,如果员工没有正当理由没有按时打卡，公司将扣除旷工相应天数工资的100%，直接影响其所有考核成绩，并可能被视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。,q: 人力资源部确认员工旷工行为后，会作哪些处罚？ 人力资源部确认员工旷工行为后，将扣除旷工相应天数工资的100%，直接影响其所有考核成绩，并可能被视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。;q: 如何处理漏打卡的情况？ 漏打卡的情况，第二天需在钉钉及时完成补卡申请,1.7
q: 如果员工因故无法按时打卡，应该如何申请？,应该提前向上级主管申请，以便获得相应的处理。,如果员工因故无法按时打卡，应该提前口头或书面通知部门经理或人力资源部门，并申请补打卡。,q: 旷工的员工能否申请恢复工作时间？ 旷工的员工需要提前申请并获得批准，否则将被视为自动离职，不能申请恢复工作时间。;q: 旷工的员工能否申请恢复工作时间？ 旷工的员工需要提前申请并获得批准，否则将被视为自动离职，不能申请恢复工作时间。,0.9
q: 考勤制度的目的是什么？,目的是为了严格工作纪律、提高工作效率，规范公司考勤管理，为公司考勤管理提供明确依据。,考勤制度的目的是严格工作纪律、提高工作效率，规范公司考勤管理。,q: 本制度的目的是什么？ 本制度的目的是严格工作纪律、提高工作效率，规范公司考勤管理。;q: 本制度的目的是什么？ 本制度的目的是严格工作纪律、提高工作效率，规范公司考勤管理。,0.9
